,source,target,value
0,france,germany,25
1,germany,italy,27
2,austria,germany,11
3,czechoslovakia,france,6
4,france,poland,15
5,germany,poland,18
6,poland,soviet union,15
7,germany,soviet union,6
8,germany,latvia,5
9,finland,latvia,6
10,finland,germany,12
11,denmark,poland,6
12,denmark,norway,12
13,denmark,netherlands,6
14,france,netherlands,5
15,france,italy,7
16,greece,yugoslavia,12
17,greece,soviet union,6
18,egypt,soviet union,1
19,egypt,libya,5
20,germany,japan,31
21,china,japan,11
22,japan,singapore,11
23,japan,philippines,12
24,guinea,japan,11
25,mexico,poland,3
26,germany,mexico,6
27,france,japan,6
28,china,france,6
29,china,india,12
30,india,pakistan,9
31,germany,pakistan,4
32,japan,west germany,6
33,india,seychelles,6
34,angola,seychelles,5
35,angola,soviet union,1
36,albania,soviet union,5
37,albania,bulgaria,6
38,bulgaria,poland,6
39,poland,romania,6
40,czechoslovakia,romania,6
41,china,czechoslovakia,5
42,china,soviet union,6
43,canada,soviet union,3
44,australia,canada,6
45,cuba,united states,3
46,soviet union,united states,6
47,japan,soviet union,8
48,czechoslovakia,yugoslavia,6
49,italy,japan,6
50,japan,united states,3
51,afghanistan,pakistan,6
52,india,singapore,5
